Species Name,Type,Source,Range ,COSEWICID
Melanoplus madeleineae,Endemics,NatureServe,Yes,NA
Mesocapnia sugluka,Endemics,NatureServe,Yes,NA
Metrioptera sphagnorum,Endemics,NatureServe,Yes,NA
Micranthes gaspensis,Endemics,NatureServe,Yes,NA
Microtus townsendii cowani,Endemics,NatureServe,Yes,NA
Mitosynum vockerothi,Endemics,NatureServe,Yes,NA
Mompha nancyae,Endemics,NatureServe,Yes,NA
Moxostoma hubbsi,Endemics,NatureServe,Yes,NA
Mustela erminea anguinae,Endemics,NatureServe,Yes,NA
Mustela erminea haidarum,Endemics,NatureServe,Yes,NA
Myriolecis carlottiana,Endemics,NatureServe,Yes,NA
Myrmica quebecensis,Endemics,NatureServe,Yes,NA
Nebria charlottae,Endemics,NatureServe,Yes,NA
Nebria haida,Endemics,NatureServe,Yes,NA
Nebria louiseae,Endemics,NatureServe,Yes,NA
Neoligia lillooet,Endemics,NatureServe,Yes,NA
Neopasites aff. fulviventris,Endemics,NatureServe,Yes,NA
Neossos tombstonensis,Endemics,NatureServe,Yes,NA
Neotamias minimus selkirki,Endemics,NatureServe,Yes,NA
Nestotus macleanii,Endemics,NatureServe,Yes,NA
Nymphaea loriana,Endemics,NatureServe,Yes,NA
Oeneis jutta terraenovae,Endemics,NatureServe,Yes,NA
Oeneis melissa atlinensis,Endemics,NatureServe,Yes,NA
Oeneis uhleri cairnesi,Endemics,NatureServe,Yes,NA
Oeneis uhleri nahanni,Endemics,NatureServe,Yes,NA
Orgyia leucostigma sablensis,Endemics,NatureServe,Yes,NA
Osmia nearctica,Endemics,NatureServe,Yes,NA
Oxytropis arctica var. murrayi,Endemics,NatureServe,Yes,NA
Oxytropis bellii,Endemics,NatureServe,Yes,NA
Oxytropis borealis var. hudsonica,Endemics,NatureServe,Yes,NA
Oxytropis campestris var. davisii,Endemics,NatureServe,Yes,NA
Oxytropis campestris var. minor,Endemics,NatureServe,Yes,NA
Oxytropis nigrescens var. lonchopoda,Endemics,NatureServe,Yes,NA
Papaipema sp. 6,Endemics,NatureServe,Yes,NA
Papilio brevicauda bretonensis,Endemics,NatureServe,Yes,NA
Papilio brevicauda brevicauda,Endemics,NatureServe,Yes,NA
Paraleuctra alta,Endemics,NatureServe,Yes,NA
Parnassius smintheus yukonensis,Endemics,NatureServe,Yes,NA
Parrya arctica,Endemics,NatureServe,Yes,NA
Passerculus sandwichensis princeps,Endemics,NatureServe,Yes,NA
