Species Name,Type,Source,Range ,COSEWICID
Gentianopsis detonsa ssp. raupii,Common Species,NatureServe,No,NA
Gentianopsis detonsa,Common Species,NatureServe,No,NA
Gentianopsis macounii,Common Species,NatureServe,No,NA
Gentianopsis nesophila,Common Species,NatureServe,No,NA
Gentianopsis victorinii,Common Species,NatureServe,No,NA
Geocaulon lividum,Common Species,NatureServe,No,NA
Geranium bicknellii,Common Species,NatureServe,No,NA
Geranium carolinianum,Common Species,NatureServe,No,NA
Geranium maculatum,Common Species,NatureServe,No,NA
Geranium richardsonii,Common Species,NatureServe,No,NA
Geranium robertianum,Common Species,NatureServe,No,NA
Geranium viscosissimum var. viscosissimum,Common Species,NatureServe,No,NA
Geum canadense,Common Species,NatureServe,No,NA
Geum macrophyllum var. perincisum,Common Species,NatureServe,No,NA
Geum macrophyllum,Common Species,NatureServe,No,NA
Geum rossii var. rossii,Common Species,NatureServe,No,NA
Geum schofieldii,Common Species,NatureServe,No,NA
Geum triflorum var. triflorum,Common Species,NatureServe,No,NA
Gilia tenerrima,Common Species,NatureServe,No,NA
Githopsis specularioides,Common Species,NatureServe,No,NA
Glaucidium gnoma swarthi,Common Species,NatureServe,No,NA
Glaucomys volans,Common Species,NatureServe,No,NA
Glaucopsyche piasus,Common Species,NatureServe,No,NA
Gleditsia triacanthos,Common Species,NatureServe,No,NA
Glehnia littoralis ssp. leiocarpa,Common Species,NatureServe,No,NA
Globicephala melas,Common Species,NatureServe,No,NA
Glyceria borealis,Common Species,NatureServe,No,NA
Glyceria canadensis,Common Species,NatureServe,No,NA
Glyceria elata,Common Species,NatureServe,No,NA
Glyceria laxa,Common Species,NatureServe,No,NA
Glyceria leptostachya,Common Species,NatureServe,No,NA
Glyceria pulchella,Common Species,NatureServe,No,NA
Glycyrrhiza lepidota,Common Species,NatureServe,No,NA
Glypholecia scabra,Common Species,NatureServe,No,NA
Glyphyalinia luticola,Common Species,NatureServe,No,NA
Gomphaeschna furcillata,Common Species,NatureServe,No,NA
Gomphus abbreviatus,Common Species,NatureServe,No,NA
Gomphus borealis,Common Species,NatureServe,No,NA
Gomphus descriptus,Common Species,NatureServe,No,NA
Gomphus graslinellus,Common Species,NatureServe,No,NA
Gomphus spicatus,Common Species,NatureServe,No,NA
Gomphus vastus,Common Species,NatureServe,No,NA
Gomphus viridifrons,Common Species,NatureServe,No,NA
Goodyera oblongifolia,Common Species,NatureServe,No,NA
Goodyera pubescens,Common Species,NatureServe,No,NA
Goodyera repens,Common Species,NatureServe,No,NA
Goodyera tesselata,Common Species,NatureServe,No,NA
Gratiola aurea,Common Species,NatureServe,No,NA
Gratiola neglecta var. glaberrima,Common Species,NatureServe,No,NA
Gratiola neglecta,Common Species,NatureServe,No,NA
Gratiola quartermaniae,Common Species,NatureServe,No,NA
Grimmia anodon,Common Species,NatureServe,No,NA
Grimmia anomala,Common Species,NatureServe,No,NA
Grimmia donniana,Common Species,NatureServe,No,NA
Grimmia elatior,Common Species,NatureServe,No,NA
Grimmia incurva,Common Species,NatureServe,No,NA
Grimmia mollis,Common Species,NatureServe,No,NA
Grimmia montana,Common Species,NatureServe,No,NA
Grimmia olneyi,Common Species,NatureServe,No,NA
Grimmia ovalis,Common Species,NatureServe,No,NA
Grimmia pilifera,Common Species,NatureServe,No,NA
Grimmia poecilostoma,Common Species,NatureServe,No,NA
Grimmia tenerrima,Common Species,NatureServe,No,NA
Grimmia teretinervis,Common Species,NatureServe,No,NA
Grimmia torquata,Common Species,NatureServe,No,NA
Grimmia trichophylla,Common Species,NatureServe,No,NA
Grimmia unicolor,Common Species,NatureServe,No,NA
Grindelia hirsutula var. hirsutula,Common Species,NatureServe,No,NA
Grindelia hirsutula,Common Species,NatureServe,No,NA
Gymnocarpium disjunctum,Common Species,NatureServe,No,NA
Gymnocarpium jessoense ssp. parvulum,Common Species,NatureServe,No,NA
Gymnocarpium jessoense,Common Species,NatureServe,No,NA
Gymnocarpium robertianum,Common Species,NatureServe,No,NA
Gymnocolea inflata,Common Species,NatureServe,No,NA
Gymnomitrion apiculatum,Common Species,NatureServe,No,NA
Gymnomitrion concinnatum,Common Species,NatureServe,No,NA
Gymnomitrion obtusum,Common Species,NatureServe,No,NA
Gypsoplaca macrophylla,Common Species,NatureServe,No,NA
Gyroweisia tenuis,Common Species,NatureServe,No,NA
Haematopus palliatus,Common Species,NatureServe,No,NA
Halenia deflexa ssp. brentoniana,Common Species,NatureServe,No,NA
Halenia deflexa,Common Species,NatureServe,No,NA
Haliaeetus leucocephalus,Common Species,NatureServe,No,NA
Halimolobos whitedii,Common Species,NatureServe,No,NA
Hamamelis virginiana,Common Species,NatureServe,No,NA
Hamatocaulis vernicosus,Common Species,NatureServe,No,NA
Haplohymenium triste,Common Species,NatureServe,No,NA
Harpanthus flotovianus,Common Species,NatureServe,No,NA
Hedeoma hispida,Common Species,NatureServe,No,NA
Hedeoma pulegioides,Common Species,NatureServe,No,NA
Hedysarum alpinum,Common Species,NatureServe,No,NA
Hedysarum occidentale,Common Species,NatureServe,No,NA
Helenium autumnale var. grandiflorum,Common Species,NatureServe,No,NA
Helianthemum canadense,Common Species,NatureServe,No,NA
Helianthus decapetalus,Common Species,NatureServe,No,NA
Helianthus divaricatus,Common Species,NatureServe,No,NA
Helianthus nuttallii ssp. rydbergii,Common Species,NatureServe,No,NA
Helianthus tuberosus,Common Species,NatureServe,No,NA
Helictotrichon hookeri,Common Species,NatureServe,No,NA
Heliopsis helianthoides var. occidentalis,Common Species,NatureServe,No,NA
Heliotropium curassavicum,Common Species,NatureServe,No,NA
Helisoma anceps,Common Species,NatureServe,No,NA
Helodium blandowii,Common Species,NatureServe,No,NA
Hemidactylium scutatum,Common Species,NatureServe,No,NA
Hemileuca hera,Common Species,NatureServe,No,NA
Hemileuca nevadensis,Common Species,NatureServe,No,NA
Hepatica nobilis var. obtusa,Common Species,NatureServe,No,NA
Hesperia assiniboia,Common Species,NatureServe,No,NA
Hesperia comma,Common Species,NatureServe,No,NA
Hesperia leonardus,Common Species,NatureServe,No,NA
Hesperia pahaska,Common Species,NatureServe,No,NA
Hesperia sassacus,Common Species,NatureServe,No,NA
Hesperochiron pumilus,Common Species,NatureServe,No,NA
Hesperostipa comata,Common Species,NatureServe,No,NA
Hesperostipa spartea,Common Species,NatureServe,No,NA
Hetaerina americana,Common Species,NatureServe,No,NA
Hetaerina titia,Common Species,NatureServe,No,NA
Heteranthera dubia,Common Species,NatureServe,No,NA
Heterocladium dimorphum,Common Species,NatureServe,No,NA
Heterocodon rariflorum,Common Species,NatureServe,No,NA
Heterodermia speciosa,Common Species,NatureServe,No,NA
Heterodermia squamulosa,Common Species,NatureServe,No,NA
Heterodon nasicus,Common Species,NatureServe,No,NA
Heterotheca villosa,Common Species,NatureServe,No,NA
Heuchera americana,Common Species,NatureServe,No,NA
Heuchera glabra,Common Species,NatureServe,No,NA
Hieracium canadense,Common Species,NatureServe,No,NA
Hieracium gronovii,Common Species,NatureServe,No,NA
Hieracium paniculatum,Common Species,NatureServe,No,NA
Hieracium robinsonii,Common Species,NatureServe,No,NA
Hieracium scabrum var. leucocaule,Common Species,NatureServe,No,NA
Hierochloe alpina,Common Species,NatureServe,No,NA
Hierochloe pauciflora,Common Species,NatureServe,No,NA
Hiodon tergisus,Common Species,NatureServe,No,NA
Hippuris montana,Common Species,NatureServe,No,NA
Hippuris tetraphylla,Common Species,NatureServe,No,NA
Hippuris vulgaris,Common Species,NatureServe,No,NA
Histrionicus histrionicus pop. 1,Common Species,NatureServe,No,NA
Holoarctia sordida,Common Species,NatureServe,No,NA
Hololepida magna,Common Species,NatureServe,No,NA
Homalothecium nevadense,Common Species,NatureServe,No,NA
Homalothecium pinnatifidum,Common Species,NatureServe,No,NA
Homomallium adnatum,Common Species,NatureServe,No,NA
Honckenya peploides ssp. robusta,Common Species,NatureServe,No,NA
Honckenya peploides,Common Species,NatureServe,No,NA
Hordeum brachyantherum ssp. brachyantherum,Common Species,NatureServe,No,NA
Hordeum brachyantherum,Common Species,NatureServe,No,NA
Houstonia longifolia,Common Species,NatureServe,No,NA
Hudsonia ericoides,Common Species,NatureServe,No,NA
Hudsonia tomentosa,Common Species,NatureServe,No,NA
Humulus lupulus var. lupuloides,Common Species,NatureServe,No,NA
Huperzia appalachiana,Common Species,NatureServe,No,NA
Huperzia selago,Common Species,NatureServe,No,NA
Hutchinsia procumbens,Common Species,NatureServe,No,NA
Hybanthus concolor,Common Species,NatureServe,No,NA
Hybognathus hankinsoni,Common Species,NatureServe,No,NA
Hybognathus regius,Common Species,NatureServe,No,NA
Hydrocoloeus minutus,Common Species,NatureServe,No,NA
Hydrocotyle americana,Common Species,NatureServe,No,NA
Hydrophyllum appendiculatum,Common Species,NatureServe,No,NA
Hydrophyllum canadense,Common Species,NatureServe,No,NA
Hydrophyllum tenuipes,Common Species,NatureServe,No,NA
Hydroprogne caspia,Common Species,NatureServe,No,NA
Hygroamblystegium tenax,Common Species,NatureServe,No,NA
Hygrobiella laxifolia,Common Species,NatureServe,No,NA
Hygrohypnum alpestre,Common Species,NatureServe,No,NA
Hygrohypnum bestii,Common Species,NatureServe,No,NA
Hygrohypnum cochlearifolium,Common Species,NatureServe,No,NA
Hygrohypnum eugyrium,Common Species,NatureServe,No,NA
Hygrohypnum luridum,Common Species,NatureServe,No,NA
Hygrohypnum molle,Common Species,NatureServe,No,NA
Hygrohypnum montanum,Common Species,NatureServe,No,NA
Hygrohypnum ochraceum,Common Species,NatureServe,No,NA
Hygrohypnum smithii,Common Species,NatureServe,No,NA
Hygrohypnum styriacum,Common Species,NatureServe,No,NA
Hyla versicolor,Common Species,NatureServe,No,NA
Hylocomiastrum pyrenaicum,Common Species,NatureServe,No,NA
Hymenopappus filifolius var. polycephalus,Common Species,NatureServe,No,NA
Hymenopappus filifolius,Common Species,NatureServe,No,NA
Hypericum ascyron,Common Species,NatureServe,No,NA
Hypericum dissimulatum,Common Species,NatureServe,No,NA
Hypericum ellipticum,Common Species,NatureServe,No,NA
Hypericum gentianoides,Common Species,NatureServe,No,NA
Hypericum kalmianum,Common Species,NatureServe,No,NA
Hypericum majus,Common Species,NatureServe,No,NA
Hypericum mutilum,Common Species,NatureServe,No,NA
Hypericum prolificum,Common Species,NatureServe,No,NA
Hypericum scouleri ssp. nortoniae,Common Species,NatureServe,No,NA
Hypericum scouleri ssp. scouleri,Common Species,NatureServe,No,NA
Hypericum sphaerocarpum,Common Species,NatureServe,No,NA
Hypnum callichroum,Common Species,NatureServe,No,NA
Hypnum curvifolium,Common Species,NatureServe,No,NA
Hypnum fertile,Common Species,NatureServe,No,NA
Hypnum pallescens,Common Species,NatureServe,No,NA
Hypnum pratense,Common Species,NatureServe,No,NA
Hypnum procerrimum,Common Species,NatureServe,No,NA
Hypnum recurvatum,Common Species,NatureServe,No,NA
Hypocenomyce friesii,Common Species,NatureServe,No,NA
Hypocenomyce leucococca,Common Species,NatureServe,No,NA
Hypocenomyce sorophora,Common Species,NatureServe,No,NA
Hypogymnia enteromorpha,Common Species,NatureServe,No,NA
Hypogymnia rugosa,Common Species,NatureServe,No,NA
Hypogymnia subobscura,Common Species,NatureServe,No,NA
Hypogymnia vittata,Common Species,NatureServe,No,NA
Hypoxis hirsuta,Common Species,NatureServe,No,NA
Ichthyomyzon castaneus,Common Species,NatureServe,No,NA
Icteria virens,Common Species,NatureServe,No,NA
Icterus galbula,Common Species,NatureServe,No,NA
Ictiobus cyprinellus,Common Species,NatureServe,No,NA
Idahoa scapigera,Common Species,NatureServe,No,NA
Iliamna rivularis,Common Species,NatureServe,No,NA
Impatiens aurella,Common Species,NatureServe,No,NA
Impatiens pallida,Common Species,NatureServe,No,NA
Inflectarius inflectus,Common Species,NatureServe,No,NA
Ionactis linariifolius,Common Species,NatureServe,No,NA
Ipomoea pandurata,Common Species,NatureServe,No,NA
Iris prismatica,Common Species,NatureServe,No,NA
Iris setosa var. canadensis,Common Species,NatureServe,No,NA
Iris setosa,Common Species,NatureServe,No,NA
Iris virginica var. shrevei,Common Species,NatureServe,No,NA
Ischnura cervula,Common Species,NatureServe,No,NA
Ischnura damula,Common Species,NatureServe,No,NA
Ischnura kellicotti,Common Species,NatureServe,No,NA
Ischnura perparva,Common Species,NatureServe,No,NA
Ischnura posita,Common Species,NatureServe,No,NA
Isoetes acadiensis,Common Species,NatureServe,No,NA
Isoetes bolanderi,Common Species,NatureServe,No,NA
Isoetes echinospora,Common Species,NatureServe,No,NA
Isoetes howellii,Common Species,NatureServe,No,NA
Isoetes lacustris,Common Species,NatureServe,No,NA
Isoetes maritima,Common Species,NatureServe,No,NA
Isoetes nuttallii,Common Species,NatureServe,No,NA
Isoetes occidentalis,Common Species,NatureServe,No,NA
Isoetes riparia,Common Species,NatureServe,No,NA
Isoetes tuckermanii,Common Species,NatureServe,No,NA
Isoetes x truncata,Common Species,NatureServe,No,NA
Isopterygiopsis muelleriana,Common Species,NatureServe,No,NA
Isopterygiopsis pulchella,Common Species,NatureServe,No,NA
Iva axillaris,Common Species,NatureServe,No,NA
Iva frutescens ssp. oraria,Common Species,NatureServe,No,NA
Jaffueliobryum wrightii,Common Species,NatureServe,No,NA
Jaumea carnosa,Common Species,NatureServe,No,NA
Juncus acuminatus,Common Species,NatureServe,No,NA
Juncus albescens,Common Species,NatureServe,No,NA
Juncus alpinoarticulatus ssp. nodulosus,Common Species,NatureServe,No,NA
Juncus alpinoarticulatus,Common Species,NatureServe,No,NA
Juncus arcticus ssp. alaskanus,Common Species,NatureServe,No,NA
Juncus arcticus,Common Species,NatureServe,No,NA
Juncus biflorus,Common Species,NatureServe,No,NA
Juncus biglumis,Common Species,NatureServe,No,NA
Juncus brachycarpus,Common Species,NatureServe,No,NA
Juncus brachycephalus,Common Species,NatureServe,No,NA
Juncus brevicaudatus,Common Species,NatureServe,No,NA
Juncus bulbosus,Common Species,NatureServe,No,NA
Juncus canadensis,Common Species,NatureServe,No,NA
Juncus castaneus,Common Species,NatureServe,No,NA
Juncus confusus,Common Species,NatureServe,No,NA
Juncus dudleyi,Common Species,NatureServe,No,NA
Juncus filiformis,Common Species,NatureServe,No,NA
Juncus greenei,Common Species,NatureServe,No,NA
Juncus hemiendytus var. hemiendytus,Common Species,NatureServe,No,NA
Juncus interior var. interior,Common Species,NatureServe,No,NA
Juncus longistylis,Common Species,NatureServe,No,NA
Juncus marginatus,Common Species,NatureServe,No,NA
Juncus militaris,Common Species,NatureServe,No,NA
Juncus nevadensis var. nevadensis,Common Species,NatureServe,No,NA
Juncus nevadensis,Common Species,NatureServe,No,NA
Juncus nodosus,Common Species,NatureServe,No,NA
Juncus occidentalis,Common Species,NatureServe,No,NA
Juncus oxymeris,Common Species,NatureServe,No,NA
Juncus parryi,Common Species,NatureServe,No,NA
Juncus pelocarpus,Common Species,NatureServe,No,NA
Juncus secundus,Common Species,NatureServe,No,NA
Juncus stygius ssp. americanus,Common Species,NatureServe,No,NA
Juncus stygius,Common Species,NatureServe,No,NA
Juncus subcaudatus var. planisepalus,Common Species,NatureServe,No,NA
Juncus subtilis,Common Species,NatureServe,No,NA
Juncus tenuis var. anthelatus,Common Species,NatureServe,No,NA
Juncus tracyi,Common Species,NatureServe,No,NA
Juncus trifidus,Common Species,NatureServe,No,NA
Juncus vaseyi,Common Species,NatureServe,No,NA
Jungermannia atrovirens,Common Species,NatureServe,No,NA
Jungermannia caespiticia,Common Species,NatureServe,No,NA
Jungermannia obovata,Common Species,NatureServe,No,NA
Jungermannia pumila,Common Species,NatureServe,No,NA
Juniperus communis var. depressa,Common Species,NatureServe,No,NA
Juniperus communis var. megistocarpa,Common Species,NatureServe,No,NA
Juniperus communis,Common Species,NatureServe,No,NA
Juniperus horizontalis,Common Species,NatureServe,No,NA
Juniperus virginiana var. virginiana,Common Species,NatureServe,No,NA
Kiaeria blyttii,Common Species,NatureServe,No,NA
Kiaeria starkei,Common Species,NatureServe,No,NA
Kobresia myosuroides,Common Species,NatureServe,No,NA
Kobresia simpliciuscula,Common Species,NatureServe,No,NA
Koeleria asiatica,Common Species,NatureServe,No,NA
Koenigia islandica,Common Species,NatureServe,No,NA
Kootenaia burkei,Common Species,NatureServe,No,NA
Krascheninnikovia lanata,Common Species,NatureServe,No,NA
Krigia biflora,Common Species,NatureServe,No,NA
Krigia virginica,Common Species,NatureServe,No,NA
Lachnanthes caroliana,Common Species,NatureServe,No,NA
Lactuca biennis,Common Species,NatureServe,No,NA
Lactuca canadensis,Common Species,NatureServe,No,NA
Lactuca floridana,Common Species,NatureServe,No,NA
Lactuca hirsuta var. sanguinea,Common Species,NatureServe,No,NA
Lactuca hirsuta,Common Species,NatureServe,No,NA
Lactuca tatarica var. pulchella,Common Species,NatureServe,No,NA
Ladona exusta,Common Species,NatureServe,No,NA
Lagenorhynchus acutus,Common Species,NatureServe,No,NA
Lagopus leucura saxatilis,Common Species,NatureServe,No,NA
Laminaria farlowii,Common Species,NatureServe,No,NA
Lampsilis radiata,Common Species,NatureServe,No,NA
Lanius ludovicianus,Common Species,NatureServe,No,NA
Lanthus parvulus,Common Species,NatureServe,No,NA
Laportea canadensis,Common Species,NatureServe,No,NA
Lappula occidentalis var. cupulata,Common Species,NatureServe,No,NA
Larix occidentalis,Common Species,NatureServe,No,NA
Larus argentatus,Common Species,NatureServe,No,NA
Larus canus,Common Species,NatureServe,No,NA
Larus delawarensis,Common Species,NatureServe,No,NA
Larus hyperboreus,Common Species,NatureServe,No,NA
Larus marinus,Common Species,NatureServe,No,NA
Lasallia pensylvanica,Common Species,NatureServe,No,NA
Lasionycteris noctivagans,Common Species,NatureServe,No,NA
Lasiurus borealis,Common Species,NatureServe,No,NA
Lasiurus cinereus,Common Species,NatureServe,No,NA
Lasthenia maritima,Common Species,NatureServe,No,NA
Lathyrus ochroleucus,Common Species,NatureServe,No,NA
Lathyrus palustris,Common Species,NatureServe,No,NA
Lecania dubitans,Common Species,NatureServe,No,NA
Lecanora argentata,Common Species,NatureServe,No,NA
Lecanora boligera,Common Species,NatureServe,No,NA
Lecanora cateilea,Common Species,NatureServe,No,NA
Lecanora chlarotera,Common Species,NatureServe,No,NA
Lecanora crenulata,Common Species,NatureServe,No,NA
Lecanora expallens,Common Species,NatureServe,No,NA
Lecanora hybocarpa,Common Species,NatureServe,No,NA
Lecanora hypoptoides,Common Species,NatureServe,No,NA
Lecanora persimilis,Common Species,NatureServe,No,NA
Lecanora subintricata,Common Species,NatureServe,No,NA
Lechea intermedia var. depauperata,Common Species,NatureServe,No,NA
Lechea mucronata,Common Species,NatureServe,No,NA
Lechea pulchella,Common Species,NatureServe,No,NA
Lechea stricta,Common Species,NatureServe,No,NA
Lecidea leprarioides,Common Species,NatureServe,No,NA
Lecidea nylanderi,Common Species,NatureServe,No,NA
Lecidea vacciniicola,Common Species,NatureServe,No,NA
Lecidella carpathica,Common Species,NatureServe,No,NA
Lecidella elaeochroma,Common Species,NatureServe,No,NA
Ledum palustre ssp. decumbens,Common Species,NatureServe,No,NA
Leersia virginica,Common Species,NatureServe,No,NA
Lemna trisulca,Common Species,NatureServe,No,NA
Lempholemma polyanthes,Common Species,NatureServe,No,NA
Lepomis auritus,Common Species,NatureServe,No,NA
Lepomis megalotis,Common Species,NatureServe,No,NA
Lepraria incana,Common Species,NatureServe,No,NA
Lepraria lobificans,Common Species,NatureServe,No,NA
Leptobryum pyriforme,Common Species,NatureServe,No,NA
Leptodea fragilis,Common Species,NatureServe,No,NA
Leptodea ochracea,Common Species,NatureServe,No,NA
Leptodictyum humile,Common Species,NatureServe,No,NA
Leptodictyum riparium,Common Species,NatureServe,No,NA
Leptogium burnetiae,Common Species,NatureServe,No,NA
Leptogium corticola,Common Species,NatureServe,No,NA
Leptogium lichenoides,Common Species,NatureServe,No,NA
Leptogium milligranum,Common Species,NatureServe,No,NA
Leptogium platynum,Common Species,NatureServe,No,NA
Leptogium polycarpum,Common Species,NatureServe,No,NA
Leptogium subtile,Common Species,NatureServe,No,NA
Leptogium teretiusculum,Common Species,NatureServe,No,NA
Leptorhaphis epidermidis,Common Species,NatureServe,No,NA
Lepus townsendii,Common Species,NatureServe,No,NA
Lescuraea saxicola,Common Species,NatureServe,No,NA
Leskea polycarpa,Common Species,NatureServe,No,NA
Leskeella nervosa,Common Species,NatureServe,No,NA
Lespedeza capitata,Common Species,NatureServe,No,NA
Lespedeza frutescens,Common Species,NatureServe,No,NA
Lesquerella alpina var. spathulata,Common Species,NatureServe,No,NA
Lesquerella arctica var. purshii,Common Species,NatureServe,No,NA
Lesquerella arctica,Common Species,NatureServe,No,NA
Lesquerella calderi,Common Species,NatureServe,No,NA
Lestes eurinus,Common Species,NatureServe,No,NA
Lestes forcipatus,Common Species,NatureServe,No,NA
Lestes vigilax,Common Species,NatureServe,No,NA
Lethe anthedon,Common Species,NatureServe,No,NA
Lethe eurydice eurydice,Common Species,NatureServe,No,NA
Lethenteron appendix,Common Species,NatureServe,No,NA
Leucanthemum integrifolium,Common Species,NatureServe,No,NA
Leucobryum glaucum,Common Species,NatureServe,No,NA
Leucodon brachypus var. andrewsianus,Common Species,NatureServe,No,NA
Leucophaeus atricilla,Common Species,NatureServe,No,NA
Leucophysalis grandiflora,Common Species,NatureServe,No,NA
Leucorrhinia frigida,Common Species,NatureServe,No,NA
Leucorrhinia glacialis,Common Species,NatureServe,No,NA
Leucorrhinia patricia,Common Species,NatureServe,No,NA
Leucospora multifida,Common Species,NatureServe,No,NA
Lewisia pygmaea ssp. pygmaea,Common Species,NatureServe,No,NA
Lewisia rediviva,Common Species,NatureServe,No,NA
Lewisia triphylla,Common Species,NatureServe,No,NA
Leymus mollis ssp. mollis,Common Species,NatureServe,No,NA
Leymus mollis,Common Species,NatureServe,No,NA
Leymus triticoides,Common Species,NatureServe,No,NA
Liatris aspera,Common Species,NatureServe,No,NA
Liatris cylindracea,Common Species,NatureServe,No,NA
Libellula pulchella,Common Species,NatureServe,No,NA
Libellula semifasciata,Common Species,NatureServe,No,NA
Libellula vibrans,Common Species,NatureServe,No,NA
Ligumia recta,Common Species,NatureServe,No,NA
Lilaea scilloides,Common Species,NatureServe,No,NA
Lilium canadense,Common Species,NatureServe,No,NA
Lilium philadelphicum var. andinum,Common Species,NatureServe,No,NA
Lilium philadelphicum,Common Species,NatureServe,No,NA
Limenitis lorquini,Common Species,NatureServe,No,NA
Limnodromus griseus,Common Species,NatureServe,No,NA
Limosa fedoa,Common Species,NatureServe,No,NA
Limosa haemastica,Common Species,NatureServe,No,NA
Limosella acaulis,Common Species,NatureServe,No,NA
Limosella aquatica,Common Species,NatureServe,No,NA
Limosella australis,Common Species,NatureServe,No,NA
Limprichtia revolvens,Common Species,NatureServe,No,NA
Linanthus septentrionalis,Common Species,NatureServe,No,NA
Lindernia dubia var. anagallidea,Common Species,NatureServe,No,NA
Lindernia dubia var. dubia,Common Species,NatureServe,No,NA
Lindernia dubia var. inundata,Common Species,NatureServe,No,NA
Lindernia dubia,Common Species,NatureServe,No,NA
Linum lewisii var. lepagei,Common Species,NatureServe,No,NA
Linum lewisii,Common Species,NatureServe,No,NA
Linum medium var. medium,Common Species,NatureServe,No,NA
Linum medium var. texanum,Common Species,NatureServe,No,NA
Linum striatum,Common Species,NatureServe,No,NA
Linum sulcatum,Common Species,NatureServe,No,NA
Linum virginianum,Common Species,NatureServe,No,NA
Liparis loeselii,Common Species,NatureServe,No,NA
Listera auriculata,Common Species,NatureServe,No,NA
Listera australis,Common Species,NatureServe,No,NA
Listera borealis,Common Species,NatureServe,No,NA
Listera caurina,Common Species,NatureServe,No,NA
Listera convallarioides,Common Species,NatureServe,No,NA
Listera cordata var. cordata,Common Species,NatureServe,No,NA
Listera cordata,Common Species,NatureServe,No,NA
Lithobates clamitans,Common Species,NatureServe,No,NA
Lithobates palustris,Common Species,NatureServe,No,NA
Lithobates pipiens,Common Species,NatureServe,No,NA
Lithobates septentrionalis,Common Species,NatureServe,No,NA
Lithobates sylvaticus,Common Species,NatureServe,No,NA
Lithophragma glabrum,Common Species,NatureServe,No,NA
Lithophragma parviflorum,Common Species,NatureServe,No,NA
Lithospermum canescens,Common Species,NatureServe,No,NA
Lithospermum caroliniense,Common Species,NatureServe,No,NA
Lithospermum incisum,Common Species,NatureServe,No,NA
Lithospermum latifolium,Common Species,NatureServe,No,NA
Lithospermum ruderale,Common Species,NatureServe,No,NA
Littorella uniflora,Common Species,NatureServe,No,NA
Lloydia serotina ssp. flava,Common Species,NatureServe,No,NA
Lobelia cardinalis,Common Species,NatureServe,No,NA
Lobelia dortmanna,Common Species,NatureServe,No,NA
Lobelia kalmii,Common Species,NatureServe,No,NA
Lobelia spicata,Common Species,NatureServe,No,NA
Loeskeobryum brevirostre,Common Species,NatureServe,No,NA
Loiseleuria procumbens,Common Species,NatureServe,No,NA
Lomatium brandegeei,Common Species,NatureServe,No,NA
Lomatium cous,Common Species,NatureServe,No,NA
Lomatium dissectum var. dissectum,Common Species,NatureServe,No,NA
Lomatium dissectum var. multifidum,Common Species,NatureServe,No,NA
Lomatium foeniculaceum,Common Species,NatureServe,No,NA
Lomatium macrocarpum,Common Species,NatureServe,No,NA
Lomatium sandbergii,Common Species,NatureServe,No,NA
Lomatogonium rotatum,Common Species,NatureServe,No,NA
Lonicera oblongifolia,Common Species,NatureServe,No,NA
Lophodytes cucullatus,Common Species,NatureServe,No,NA
Lophozia ascendens,Common Species,NatureServe,No,NA
Lophozia badensis,Common Species,NatureServe,No,NA
Lophozia capitata,Common Species,NatureServe,No,NA
Lophozia collaris,Common Species,NatureServe,No,NA
Lophozia excisa,Common Species,NatureServe,No,NA
Lophozia gillmanii,Common Species,NatureServe,No,NA
Lophozia grandiretis,Common Species,NatureServe,No,NA
Lophozia guttulata,Common Species,NatureServe,No,NA
Lophozia heterocolpos,Common Species,NatureServe,No,NA
Lophozia incisa,Common Species,NatureServe,No,NA
Lophozia laxa,Common Species,NatureServe,No,NA
Lophozia longidens,Common Species,NatureServe,No,NA
Lophozia obtusa,Common Species,NatureServe,No,NA
Lophozia opacifolia,Common Species,NatureServe,No,NA
Lophozia pellucida,Common Species,NatureServe,No,NA
Lophozia rutheana,Common Species,NatureServe,No,NA
Lophozia schusteriana,Common Species,NatureServe,No,NA
Lotus unifoliolatus var. unifoliolatus,Common Species,NatureServe,No,NA
Loxia curvirostra,Common Species,NatureServe,No,NA
Lucilla singleyana,Common Species,NatureServe,No,NA
Ludwigia alternifolia,Common Species,NatureServe,No,NA
Ludwigia polycarpa,Common Species,NatureServe,No,NA
Lupinus arbustus ssp. pseudoparviflorus,Common Species,NatureServe,No,NA
Lupinus argenteus ssp. argenteus,Common Species,NatureServe,No,NA
Lupinus argenteus var. laxiflorus,Common Species,NatureServe,No,NA
Lupinus bingenensis var. subsaccatus,Common Species,NatureServe,No,NA
Lupinus densiflorus var. densiflorus,Common Species,NatureServe,No,NA
Lupinus minimus,Common Species,NatureServe,No,NA
Lupinus perennis,Common Species,NatureServe,No,NA
Lupinus pusillus ssp. pusillus,Common Species,NatureServe,No,NA
Luscinia svecica,Common Species,NatureServe,No,NA
Luxilus chrysocephalus,Common Species,NatureServe,No,NA
Luxilus cornutus,Common Species,NatureServe,No,NA
Luzula acuminata,Common Species,NatureServe,No,NA
Luzula confusa,Common Species,NatureServe,No,NA
Luzula groenlandica,Common Species,NatureServe,No,NA
Luzula multiflora,Common Species,NatureServe,No,NA
Luzula parviflora,Common Species,NatureServe,No,NA
Luzula rufescens var. rufescens,Common Species,NatureServe,No,NA
Luzula rufescens,Common Species,NatureServe,No,NA
Luzula spicata,Common Species,NatureServe,No,NA
Lycaena dione,Common Species,NatureServe,No,NA
Lycaena dorcas claytoni,Common Species,NatureServe,No,NA
Lycaena dorcas,Common Species,NatureServe,No,NA
